name,source,gender,wikidata,type
"Elizy Orzeszkowej",wikidata,F,Q240174,way
"Emilii Plater",wikidata,F,Q294136,way
"Janiny Omańkowskiej",wikidata,F,Q11719848,way
"Królowej Jadwigi",wikidata,F,Q53449,way
Mariańska,wikidata,F,Q345,way
"Marii Konopnickiej",wikidata,F,Q257852,way
"Marii Rodziewiczówny",wikidata,F,Q6761541,way
"Marii Skłodowskiej-Curie",wikidata,F,Q7186,way
"Stefanii Sempołowskiej",wikidata,F,Q7606372,way
Wandy,wikidata,F,Q1757406,way
"Świętej Anny",wikidata,F,Q164294,way
"Świętej Barbary",wikidata,F,Q192816,way
"Świętej Kingi",wikidata,F,Q233012,way
"Adama Asnyka",wikidata,M,Q348690,way
"Adama Mickiewicza",wikidata,M,Q79822,way
"Aleksandra Fredry",wikidata,M,Q380506,way
"Alfonsa Zgrzebnioka",wikidata,M,Q2644501,way
"Antoniego Stabika",wikidata,M,Q8201086,way
"Augustyna Świdra",wikidata,M,Q9162206,way
"Bartosza Głowackiego",wikidata,M,Q2576810,way
"Biskupa Adriana Włodarskiego",wikidata,M,Q9141365,way
"Biskupa Arkadiusza Lisieckiego",wikidata,M,Q672419,way
"Bolesława Chrobrego",wikidata,M,Q53436,way
"Bolesława Limanowskiego",wikidata,M,Q4939258,way
"Bolesława Prusa",wikidata,M,Q144439,way
"Cypriana Kamila Norwida",wikidata,M,Q340122,way
"Doktora Andrzeja Mielęckiego",wikidata,M,Q9152926,way
"Doktora Józefa Rostka",wikidata,M,Q11731273,way
"Edwarda Hankego",wikidata,M,Q16542926,way
Floriańska,wikidata,M,Q298845,way
"Franciszka Karpińskiego",wikidata,M,Q3547,way
"Franklina Delano Roosevelta",wikidata,M,Q8007,way
"Franza Waxmana",wikidata,M,Q213611,way
"Fryderyka Chopina",wikidata,M,Q1268,way
"Fryderyka Wilhelma Redena",wikidata,M,Q88200,way
"Gabriela Narutowicza",wikidata,M,Q55836,way
"Generała Henryka Dąbrowskiego",wikidata,M,Q158027,way
"Generała Józefa Bema",wikidata,M,Q266339,way
"Generała Kazimierza Pułaskiego",wikidata,M,Q381854,way
"Gustawa Morcinka",wikidata,M,Q876756,way
"Henryka Majętnego",wikidata,M,Q9288461,way
"Henryka Sienkiewicza",wikidata,M,Q41502,way
"Henryka Wieniawskiego",wikidata,M,Q272184,way
"Ignacego Mościckiego",wikidata,M,Q310594,way
"Ignacego Nowaka",wikidata,M,Q11711288,way
"Ignacego Paderewskiego",wikidata,M,Q191957,way
"Jakuba Jasińskiego",wikidata,M,Q2662405,way
"Jana Faski",wikidata,M,Q11717423,way
"Jana Ficka",wikidata,M,Q11716910,way
"Jana Karola Chodkiewicza",wikidata,M,Q540840,way
"Jana Kasprowicza",wikidata,M,Q962432,way
"Jana Kilińskiego",wikidata,M,Q383201,way
"Jana Kochanowskiego",wikidata,M,Q59737,way
"Jana Sobieskiego",wikidata,M,Q53454,way
"Joachima Lelewela",wikidata,M,Q734458,way
"Józefa Kalusa",wikidata,M,Q108350564,way
